"x","y","Species","Abundance","Stress_abund"
1,1,"Sp. 1",0,0
1,2,"Sp. 1",0,0
1,3,"Sp. 1",0,0
1,4,"Sp. 1",0,0
1,5,"Sp. 1",0,0
1,6,"Sp. 1",0,0
1,7,"Sp. 1",0,0
1,8,"Sp. 1",0,0
1,9,"Sp. 1",0,0
1,10,"Sp. 1",0,0
1,11,"Sp. 1",0,0
1,12,"Sp. 1",0,0
1,13,"Sp. 1",0,0
1,14,"Sp. 1",0,0
1,15,"Sp. 1",0,0
1,16,"Sp. 1",0,0
1,17,"Sp. 1",0,0
1,18,"Sp. 1",0,0
1,19,"Sp. 1",0,0
1,20,"Sp. 1",0,0
2,1,"Sp. 1",0,0
2,2,"Sp. 1",0,0
2,3,"Sp. 1",0,0
2,4,"Sp. 1",0,0
2,5,"Sp. 1",0,0
2,6,"Sp. 1",0,0
2,7,"Sp. 1",0,0
2,8,"Sp. 1",0,0
2,9,"Sp. 1",0,0
2,10,"Sp. 1",0,0
2,11,"Sp. 1",0,0
2,12,"Sp. 1",0,0
2,13,"Sp. 1",0,0
2,14,"Sp. 1",0,0
2,15,"Sp. 1",0,0
2,16,"Sp. 1",0,0
2,17,"Sp. 1",0,0
2,18,"Sp. 1",0,0
2,19,"Sp. 1",0,0
2,20,"Sp. 1",0,0
3,1,"Sp. 1",0,0
3,2,"Sp. 1",0,0
3,3,"Sp. 1",0,0
3,4,"Sp. 1",0,0
3,5,"Sp. 1",0,0
3,6,"Sp. 1",0,0
3,7,"Sp. 1",0,0
3,8,"Sp. 1",0,0
3,9,"Sp. 1",0,0
3,10,"Sp. 1",0,0
3,11,"Sp. 1",0,0
3,12,"Sp. 1",0,0
3,13,"Sp. 1",0,0
3,14,"Sp. 1",0,0
3,15,"Sp. 1",0,0
3,16,"Sp. 1",0,0
3,17,"Sp. 1",0,0
3,18,"Sp. 1",0,0
3,19,"Sp. 1",0,0
3,20,"Sp. 1",0,0
4,1,"Sp. 1",0,0
4,2,"Sp. 1",0,0
4,3,"Sp. 1",0,0
4,4,"Sp. 1",0,0
4,5,"Sp. 1",0,0
4,6,"Sp. 1",0,0
4,7,"Sp. 1",0,0
4,8,"Sp. 1",0,0
4,9,"Sp. 1",0,0
4,10,"Sp. 1",0,0
4,11,"Sp. 1",0,0
4,12,"Sp. 1",0,0
4,13,"Sp. 1",0,0
4,14,"Sp. 1",0,0
4,15,"Sp. 1",0,0
4,16,"Sp. 1",0,0
4,17,"Sp. 1",0,0
4,18,"Sp. 1",0,0
4,19,"Sp. 1",0,0
4,20,"Sp. 1",0,0
5,1,"Sp. 1",0,0
5,2,"Sp. 1",0,0
5,3,"Sp. 1",0,0
5,4,"Sp. 1",0,0
5,5,"Sp. 1",0,0
5,6,"Sp. 1",0,0
5,7,"Sp. 1",0,0
5,8,"Sp. 1",0,0
5,9,"Sp. 1",0,0
5,10,"Sp. 1",0,0
5,11,"Sp. 1",0,0
5,12,"Sp. 1",0,0
5,13,"Sp. 1",0,0
5,14,"Sp. 1",0,0
5,15,"Sp. 1",0,0
5,16,"Sp. 1",0,0
5,17,"Sp. 1",0,0
5,18,"Sp. 1",0,0
5,19,"Sp. 1",0,0
5,20,"Sp. 1",0,0
6,1,"Sp. 1",0,0
6,2,"Sp. 1",0,0
6,3,"Sp. 1",0,0
6,4,"Sp. 1",0,0
6,5,"Sp. 1",0,0
6,6,"Sp. 1",0,0
6,7,"Sp. 1",0,0
6,8,"Sp. 1",0,0
6,9,"Sp. 1",0,0
6,10,"Sp. 1",0,0
6,11,"Sp. 1",0,0
6,12,"Sp. 1",0,0
6,13,"Sp. 1",0,0
6,14,"Sp. 1",0,0
6,15,"Sp. 1",0,0
6,16,"Sp. 1",0,0
6,17,"Sp. 1",0,0
6,18,"Sp. 1",0,0
6,19,"Sp. 1",0,0
6,20,"Sp. 1",0,0
7,1,"Sp. 1",0,0
7,2,"Sp. 1",0,0
7,3,"Sp. 1",0,0
7,4,"Sp. 1",0,0
7,5,"Sp. 1",0,0
7,6,"Sp. 1",0,0
7,7,"Sp. 1",0,0
7,8,"Sp. 1",0,0
7,9,"Sp. 1",0,0
7,10,"Sp. 1",0,0
7,11,"Sp. 1",0,0
7,12,"Sp. 1",0,0
7,13,"Sp. 1",0,0
7,14,"Sp. 1",0,0
7,15,"Sp. 1",0,0
7,16,"Sp. 1",0,0
7,17,"Sp. 1",0,0
7,18,"Sp. 1",0,0
7,19,"Sp. 1",0,0
7,20,"Sp. 1",0,0
8,1,"Sp. 1",0,0
8,2,"Sp. 1",0,0
8,3,"Sp. 1",0,0
8,4,"Sp. 1",0,0
8,5,"Sp. 1",0,0
8,6,"Sp. 1",0,0
8,7,"Sp. 1",0,0
8,8,"Sp. 1",0,0
8,9,"Sp. 1",0,0
8,10,"Sp. 1",0,0
8,11,"Sp. 1",0,0
8,12,"Sp. 1",0,0
8,13,"Sp. 1",0,0
8,14,"Sp. 1",0,0
8,15,"Sp. 1",0,0
8,16,"Sp. 1",0,0
8,17,"Sp. 1",0,0
8,18,"Sp. 1",0,0
8,19,"Sp. 1",0,0
8,20,"Sp. 1",0,0
9,1,"Sp. 1",0,0
9,2,"Sp. 1",0,0
9,3,"Sp. 1",0,0
9,4,"Sp. 1",0,0
9,5,"Sp. 1",0,0
9,6,"Sp. 1",0,0
9,7,"Sp. 1",0,0
9,8,"Sp. 1",0,0
9,9,"Sp. 1",0,0
9,10,"Sp. 1",0,0
9,11,"Sp. 1",0,0
9,12,"Sp. 1",0,0
9,13,"Sp. 1",0,0
9,14,"Sp. 1",0,0
9,15,"Sp. 1",0,0
9,16,"Sp. 1",0,0
9,17,"Sp. 1",0,0
9,18,"Sp. 1",0,0
9,19,"Sp. 1",0,0
9,20,"Sp. 1",0,0
10,1,"Sp. 1",0,0
10,2,"Sp. 1",0,0
10,3,"Sp. 1",0,0
10,4,"Sp. 1",0,0
10,5,"Sp. 1",0,0
