,Day,Month,Year,SampleDescription,Latitude,Longitude,Genus,Species,Abundance
1,20,7,2010,ABUR_1_34.40011667_-119.7443833,34.40011667,-119.7443833,Hypsurus,caryi,2
2,20,7,2010,ABUR_1_34.40011667_-119.7443833,34.40011667,-119.7443833,Phanerodon,furcatus,12
3,20,7,2010,ABUR_1_34.40011667_-119.7443833,34.40011667,-119.7443833,Leiocottus,hirundo,1
4,20,7,2010,ABUR_1_34.40011667_-119.7443833,34.40011667,-119.7443833,Embiotoca,jacksoni,2
5,20,7,2010,ABUR_1_34.40011667_-119.7443833,34.40011667,-119.7443833,Scorpaenichthys,marmoratus,1
6,20,7,2010,ABUR_1_34.40011667_-119.7443833,34.40011667,-119.7443833,Sebastes,spp.,8
7,20,7,2010,ABUR_1_34.40011667_-119.7443833,34.40011667,-119.7443833,Sebastes,spp.,1
8,20,7,2010,ABUR_1_34.40011667_-119.7443833,34.40011667,-119.7443833,Citharichthys,stigmaeus,4
9,20,7,2010,ABUR_2_34.40043333_-119.7448,34.40043333,-119.7448,Oxyjulis,californica,8
10,20,7,2010,ABUR_2_34.40043333_-119.7448,34.40043333,-119.7448,Phanerodon,furcatus,2
11,20,7,2010,ABUR_2_34.40043333_-119.7448,34.40043333,-119.7448,Citharichthys,stigmaeus,3
12,26,7,2010,AHND_1_34.47186667_-120.1443833,34.47186667,-120.1443833,Scorpaenichthys,marmoratus,1
13,26,7,2010,AHND_1_34.47186667_-120.1443833,34.47186667,-120.1443833,Cottid,spp.,3
14,26,7,2010,AHND_1_34.47186667_-120.1443833,34.47186667,-120.1443833,Sebastes,spp.,1
15,26,7,2010,AHND_1_34.47186667_-120.1443833,34.47186667,-120.1443833,Syngnathus,spp.,2
16,26,7,2010,AHND_1_34.47186667_-120.1443833,34.47186667,-120.1443833,Citharichthys,stigmaeus,70
17,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Cymatogaster,aggregata,27
18,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Sebastes,atrovirens,2
19,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Sebastes,auriculatus,1
20,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Oxyjulis,californica,6
21,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Sebastes,carnatus,1
22,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Paralabrax,clathratus,2
23,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Leiocottus,hirundo,1
24,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Embiotoca,jacksoni,4
25,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Scorpaenichthys,marmoratus,1
26,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Rhinogobiops,nicholsii,3
27,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Oxylebius,pictus,9
28,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Heterostichus,rostratus,1
29,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Cottid,spp.,1
30,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Sebastes,spp.,3
31,26,7,2010,AHND_2_34.47176667_-120.14085,34.47176667,-120.14085,Rhacochilus,vacca,2
32,22,7,2010,AQUE_1_34.46878333_-120.1214167,34.46878333,-120.1214167,Oxyjulis,californica,21
33,22,7,2010,AQUE_1_34.46878333_-120.1214167,34.46878333,-120.1214167,Paralabrax,clathratus,1
34,22,7,2010,AQUE_1_34.46878333_-120.1214167,34.46878333,-120.1214167,Embiotoca,jacksoni,1
35,22,7,2010,AQUE_1_34.46878333_-120.1214167,34.46878333,-120.1214167,Oxylebius,pictus,6
36,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Sebastes,auriculatus,2
37,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Oxyjulis,californica,11
38,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Paralabrax,clathratus,1
39,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Brachyistius,frenatus,2
40,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Phanerodon,furcatus,23
41,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Rhinogobiops,nicholsii,5
42,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Oxylebius,pictus,6
43,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Sebastes,spp.,1
44,22,7,2010,AQUE_2_34.46873333_-120.1207833,34.46873333,-120.1207833,Sebastes,spp.,7
45,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Sebastes,atrovirens,1
46,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Sebastes,auriculatus,2
47,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Oxyjulis,californica,3
48,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Paralabrax,clathratus,1
49,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Phanerodon,furcatus,24
50,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Leiocottus,hirundo,1
51,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Sebastes,spp.,1
52,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Rhinogobiops,nicholsii,1
53,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Sebastes,spp.,1
54,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Oxylebius,pictus,3
55,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Sebastes,spp.,1
56,22,7,2010,AQUE_3_34.46793333_-120.1192833,34.46793333,-120.1192833,Cottid,spp.,1
